product_name,brand,price,image_url,switch_type,connection,layout,key_force,weight_g,wireless_type,engraving,backlight,raw_switch_name,switch_name,switch_manufacturer,product_code,media_url,price_compare_url,media_url_is_placeholder
AULA F108 PRO 유무선 기계식 치즈 화이트 한글,AULA,99000,https://img.danuri.io/catalog-image/476/026/094/a2377078683d4985b1880e8ea1f7a7a4.jpg?shrink=130:130&_v=20260610124800,기계식,유선+무선,풀배열,43g,1020,"전용동글(리시버), 블루투스",한/영 정각,RGB 백라이트,경해축,Blue Whale 경해축,,94026473,https://example.com/media,https://prod.danawa.com/info/?pcode=94026473&cate=112782,True
AULA F108 PRO 유무선 기계식 치즈 화이트 한글,AULA,85000,https://img.danuri.io/catalog-image/476/026/094/a2377078683d4985b1880e8ea1f7a7a4.jpg?shrink=130:130&_v=20260610124800,기계식,유선+무선,풀배열,43g,1020,"전용동글(리시버), 블루투스",한/영 정각,RGB 백라이트,세이야축,SEIYA 세이야,,94026470,https://example.com/media,https://prod.danawa.com/info/?pcode=94026470&cate=112782,True
AULA F108 PRO 유무선 기계식 치즈 화이트 한글,AULA,89000,https://img.danuri.io/catalog-image/476/026/094/a2377078683d4985b1880e8ea1f7a7a4.jpg?shrink=130:130&_v=20260610124800,기계식,유선+무선,풀배열,43g,1020,"전용동글(리시버), 블루투스",한/영 정각,RGB 백라이트,저소음 바다축,,,94026476,https://example.com/media,https://prod.danawa.com/info/?pcode=94026476&cate=112782,True
AULA F108 PRO 유무선 기계식 치즈 화이트 한글,AULA,89000,https://img.danuri.io/catalog-image/476/026/094/a2377078683d4985b1880e8ea1f7a7a4.jpg?shrink=130:130&_v=20260610124800,기계식,유선+무선,풀배열,43g,1020,"전용동글(리시버), 블루투스",한/영 정각,RGB 백라이트,저소음 솜사탕축,,,94026467,https://example.com/media,https://prod.danawa.com/info/?pcode=94026467&cate=112782,True
FL-ESPORTS NX108 유무선 기계식 크림 말차,FL-ESPORTS,77000,https://img.danuri.io/catalog-image/377/122/097/c7cdfec0c9dd483994d08f9b8d4f1a07.jpg?shrink=130:130&_v=20260610124739,기계식,유선+무선,풀배열,43g,1180,"전용동글(리시버), 블루투스",한/영 정각,RGB 백라이트,리치베리축,,,97122362,https://example.com/media,https://prod.danawa.com/info/?pcode=97122362&cate=112782,True
FL-ESPORTS NX108 유무선 기계식 크림 말차,FL-ESPORTS,82000,https://img.danuri.io/catalog-image/377/122/097/c7cdfec0c9dd483994d08f9b8d4f1a07.jpg?shrink=130:130&_v=20260610124739,기계식,유선+무선,풀배열,43g,1180,"전용동글(리시버), 블루투스",한/영 정각,RGB 백라이트,저소음 갈축,,,104964920,https://example.com/media,https://prod.danawa.com/info/?pcode=104964920&cate=112782,True
FL-ESPORTS NX108 유무선 기계식 크림 말차,FL-ESPORTS,82000,https://img.danuri.io/catalog-image/377/122/097/c7cdfec0c9dd483994d08f9b8d4f1a07.jpg?shrink=130:130&_v=20260610124739,기계식,유선+무선,풀배열,43g,1180,"전용동글(리시버), 블루투스",한/영 정각,RGB 백라이트,저소음 스노우축,,,97122386,https://example.com/media,https://prod.danawa.com/info/?pcode=97122386&cate=112782,True
FL-ESPORTS NX108 유무선 기계식 크림 말차,FL-ESPORTS,82000,https://img.danuri.io/catalog-image/377/122/097/c7cdfec0c9dd483994d08f9b8d4f1a07.jpg?shrink=130:130&_v=20260610124739,기계식,유선+무선,풀배열,43g,1180,"전용동글(리시버), 블루투스",한/영 정각,RGB 백라이트,저소음 파도축,,,97122377,https://example.com/media,https://prod.danawa.com/info/?pcode=97122377&cate=112782,True
AULA F87 Pro 기계식 다크 올리비아 한글,AULA,42800,https://img.danuri.io/catalog-image/976/466/063/0b2065d34e0d4c87b1f55c8111f2ec38.jpg?shrink=130:130&_v=20260610124756,기계식,유선,텐키리스,43g,916,유선,한/영 정각,RGB 백라이트,세이야축,SEIYA 세이야,,63466952,https://example.com/media,https://prod.danawa.com/info/?pcode=63466952&cate=112782,True
AULA F87 Pro 기계식 다크 올리비아 한글,AULA,48000,https://img.danuri.io/catalog-image/976/466/063/0b2065d34e0d4c87b1f55c8111f2ec38.jpg?shrink=130:130&_v=20260610124756,기계식,유선,텐키리스,43g,916,유선,한/영 정각,RGB 백라이트,저소음 바다축,,,63466976,https://example.com/media,https://prod.danawa.com/info/?pcode=63466976&cate=112782,True
